id,text,sentiment
94,"I love this product, absolutely amazing experience!",positive
95,The event was attended by over 500 people,neutral
96,My flight departs at 6am tomorrow morning,neutral
97,Updated my profile information on the platform,neutral
98,Updated my profile information on the platform,neutral
99,Downloaded the latest version of the software,neutral
100,Just checked the weather forecast for tomorrow,neutral
101,"Horrible quality, broke after just two days",negative
102,Disgusted by the lack of response from support,negative
103,Downloaded the latest version of the software,neutral
104,Currently reading about machine learning,neutral
105,Just checked the weather forecast for tomorrow,neutral
106,The restaurant opens at noon on weekdays,neutral
107,"Never buying from this brand again, awful experience",negative
108,Feeling motivated and ready to take on the world,positive
109,Feeling motivated and ready to take on the world,positive
110,"I love this product, absolutely amazing experience!",positive
111,"Terrible experience with customer service, very disappointed",negative
112,"This update ruined everything, reverting immediately",negative
113,"Horrible quality, broke after just two days",negative
114,"Just finished an incredible book, highly recommend",positive
115,Cannot believe how bad this service has gotten,negative
116,"Never buying from this brand again, awful experience",negative
117,"Just finished an incredible book, highly recommend",positive
118,"Beautiful weather today, perfect for a walk",positive
119,This is the worst decision I have ever made,negative
120,Best coffee I have ever had this morning,positive
121,Currently reading about machine learning,neutral
122,"Worst flight I have ever taken, never again",negative
123,"Just finished an incredible book, highly recommend",positive
124,The conference starts next Monday in Paris,neutral
125,The package arrived this afternoon,neutral
126,Downloaded the latest version of the software,neutral
127,Very frustrated with the constant delays,negative
128,Downloaded the latest version of the software,neutral
129,This is the worst decision I have ever made,negative
130,This product is a complete waste of money,negative
131,The package arrived this afternoon,neutral
132,"Never buying from this brand again, awful experience",negative
133,Updated my profile information on the platform,neutral
134,The conference starts next Monday in Paris,neutral
135,"Excellent customer support, resolved my issue immediately",positive
136,Disgusted by the lack of response from support,negative
137,The restaurant opens at noon on weekdays,neutral
138,Happy to announce I got the job! Super excited,positive
139,"The new update is fantastic, so much better now",positive
140,"Thrilled with my new purchase, exceeded expectations",positive
141,Feeling motivated and ready to take on the world,positive
142,Very frustrated with the constant delays,negative
143,"Extremely disappointed, not what was advertised at all",negative
144,"The new update is fantastic, so much better now",positive
145,This product is a complete waste of money,negative
146,The report will be ready by end of day,neutral
147,"Extremely disappointed, not what was advertised at all",negative
148,So grateful for all the support from my friends,positive
149,"The app crashes constantly, completely unusable",negative
150,The report will be ready by end of day,neutral
151,I am going to the store later today,neutral
152,"The new update is fantastic, so much better now",positive
153,"Just finished an incredible book, highly recommend",positive
154,The team is working on the new feature,neutral
155,"Worst flight I have ever taken, never again",negative
156,The package arrived this afternoon,neutral
157,The team is working on the new feature,neutral
158,This is the worst decision I have ever made,negative
159,"This is the best day ever, feeling fantastic!",positive
160,Updated my profile information on the platform,neutral
161,"So angry about the hidden fees, total scam",negative
162,"Terrible experience with customer service, very disappointed",negative
163,Very frustrated with the constant delays,negative
164,"Worst flight I have ever taken, never again",negative
165,Happy to announce I got the job! Super excited,positive
166,"Such a letdown, expected so much more",negative
167,The package arrived this afternoon,neutral
168,"So angry about the hidden fees, total scam",negative
169,Downloaded the latest version of the software,neutral
170,The event was attended by over 500 people,neutral
171,"Beautiful weather today, perfect for a walk",positive
172,The package arrived this afternoon,neutral
173,"Horrible quality, broke after just two days",negative
174,"Terrible experience with customer service, very disappointed",negative
175,So grateful for all the support from my friends,positive
176,I am going to the store later today,neutral
177,Loving the new features in this app,positive
178,Loving the new features in this app,positive
179,"The new update is fantastic, so much better now",positive
180,"This update ruined everything, reverting immediately",negative
181,Best coffee I have ever had this morning,positive
182,"Such a letdown, expected so much more",negative
183,"Terrible experience with customer service, very disappointed",negative
184,Watched a documentary about space last night,neutral
185,"Such a letdown, expected so much more",negative
186,The new model was released yesterday,neutral
187,The restaurant opens at noon on weekdays,neutral
188,Outstanding performance today by the whole team,positive
189,"Such a letdown, expected so much more",negative
190,"So angry about the hidden fees, total scam",negative
191,Downloaded the latest version of the software,neutral
192,The event was attended by over 500 people,neutral
193,Disgusted by the lack of response from support,negative
194,"Horrible quality, broke after just two days",negative
195,So grateful for all the support from my friends,positive
196,Currently reading about machine learning,neutral
197,"Beautiful weather today, perfect for a walk",positive
198,The meeting is scheduled for 3pm,neutral
199,"Waited two hours and still no help, unacceptable",negative
200,"Just had the most wonderful meal, highly recommend",positive
201,The team is working on the new feature,neutral
202,"Great service today, very happy with the results",positive
203,"This update ruined everything, reverting immediately",negative
204,"Just had the most wonderful meal, highly recommend",positive
205,The new model was released yesterday,neutral
206,"Great service today, very happy with the results",positive
207,"Just had the most wonderful meal, highly recommend",positive
208,Just checked the weather forecast for tomorrow,neutral
209,So grateful for all the support from my friends,positive
210,The package arrived this afternoon,neutral
211,So grateful for all the support from my friends,positive
212,Downloaded the latest version of the software,neutral
213,Just checked the weather forecast for tomorrow,neutral
214,"Extremely disappointed, not what was advertised at all",negative
215,"Extremely disappointed, not what was advertised at all",negative
216,I am going to the store later today,neutral
217,Updated my profile information on the platform,neutral
218,"Waited two hours and still no help, unacceptable",negative
219,"This is the best day ever, feeling fantastic!",positive
220,Watched a documentary about space last night,neutral
221,This product is a complete waste of money,negative
222,My flight departs at 6am tomorrow morning,neutral
223,The restaurant opens at noon on weekdays,neutral
224,"Extremely disappointed, not what was advertised at all",negative
225,"Extremely disappointed, not what was advertised at all",negative
226,"Thrilled with my new purchase, exceeded expectations",positive
227,"The new update is fantastic, so much better now",positive
228,I am going to the store later today,neutral
229,Just checked the weather forecast for tomorrow,neutral
230,"Extremely disappointed, not what was advertised at all",negative
231,Best coffee I have ever had this morning,positive
232,Best coffee I have ever had this morning,positive
233,Just checked the weather forecast for tomorrow,neutral
234,"Extremely disappointed, not what was advertised at all",negative
235,"This is the best day ever, feeling fantastic!",positive
236,Updated my profile information on the platform,neutral
237,"This update ruined everything, reverting immediately",negative
238,This product is a complete waste of money,negative
239,"Excellent customer support, resolved my issue immediately",positive
240,The team is working on the new feature,neutral
241,The event was attended by over 500 people,neutral
242,My flight departs at 6am tomorrow morning,neutral
243,The meeting is scheduled for 3pm,neutral
244,The restaurant opens at noon on weekdays,neutral
245,Updated my profile information on the platform,neutral
246,"This is the best day ever, feeling fantastic!",positive
247,Outstanding performance today by the whole team,positive
248,"Worst flight I have ever taken, never again",negative
249,Disgusted by the lack of response from support,negative
250,Just checked the weather forecast for tomorrow,neutral
251,Just checked the weather forecast for tomorrow,neutral
252,My flight departs at 6am tomorrow morning,neutral
253,Downloaded the latest version of the software,neutral
254,"Extremely disappointed, not what was advertised at all",negative
255,The event was attended by over 500 people,neutral
256,I am going to the store later today,neutral
257,So grateful for all the support from my friends,positive
258,"Horrible quality, broke after just two days",negative
259,"Just finished an incredible book, highly recommend",positive
260,This product is a complete waste of money,negative
261,"This update ruined everything, reverting immediately",negative
262,This product is a complete waste of money,negative
263,"Great service today, very happy with the results",positive
264,"This update ruined everything, reverting immediately",negative
265,Watched a documentary about space last night,neutral
266,Cannot believe how bad this service has gotten,negative
267,Happy to announce I got the job! Super excited,positive
268,"Waited two hours and still no help, unacceptable",negative
269,The new model was released yesterday,neutral
270,The package arrived this afternoon,neutral
271,Happy to announce I got the job! Super excited,positive
272,This product is a complete waste of money,negative
273,So grateful for all the support from my friends,positive
274,"Waited two hours and still no help, unacceptable",negative
275,"Just finished an incredible book, highly recommend",positive
276,Happy to announce I got the job! Super excited,positive
277,"Such a letdown, expected so much more",negative
278,Updated my profile information on the platform,neutral
279,Best coffee I have ever had this morning,positive
280,"Waited two hours and still no help, unacceptable",negative
281,"The app crashes constantly, completely unusable",negative
282,Feeling motivated and ready to take on the world,positive
283,Cannot believe how bad this service has gotten,negative
284,"The new update is fantastic, so much better now",positive
285,Just checked the weather forecast for tomorrow,neutral
286,"Just had the most wonderful meal, highly recommend",positive
287,"Extremely disappointed, not what was advertised at all",negative
288,The restaurant opens at noon on weekdays,neutral
289,The restaurant opens at noon on weekdays,neutral
290,The conference starts next Monday in Paris,neutral
291,Just checked the weather forecast for tomorrow,neutral
292,"Thrilled with my new purchase, exceeded expectations",positive
293,Happy to announce I got the job! Super excited,positive
294,"Just finished an incredible book, highly recommend",positive
295,Cannot believe how bad this service has gotten,negative
296,"Excellent customer support, resolved my issue immediately",positive
297,"Just finished an incredible book, highly recommend",positive
298,So grateful for all the support from my friends,positive
299,The event was attended by over 500 people,neutral
300,Cannot believe how bad this service has gotten,negative
301,The team is working on the new feature,neutral
302,"The new update is fantastic, so much better now",positive
303,The package arrived this afternoon,neutral
304,My flight departs at 6am tomorrow morning,neutral
305,"Great service today, very happy with the results",positive
306,Updated my profile information on the platform,neutral
307,"So angry about the hidden fees, total scam",negative
308,The new model was released yesterday,neutral
309,"Such a letdown, expected so much more",negative
310,Watched a documentary about space last night,neutral
311,"The new update is fantastic, so much better now",positive
312,"So angry about the hidden fees, total scam",negative
313,Feeling motivated and ready to take on the world,positive
314,This product is a complete waste of money,negative
315,Loving the new features in this app,positive
316,"Such a letdown, expected so much more",negative
317,"Extremely disappointed, not what was advertised at all",negative
318,"Never buying from this brand again, awful experience",negative
319,"The new update is fantastic, so much better now",positive
320,Watched a documentary about space last night,neutral
321,This product is a complete waste of money,negative
322,This product is a complete waste of money,negative
323,This product is a complete waste of money,negative
324,The team is working on the new feature,neutral
325,"I love this product, absolutely amazing experience!",positive
326,"Terrible experience with customer service, very disappointed",negative
327,"I love this product, absolutely amazing experience!",positive
328,Best coffee I have ever had this morning,positive
329,Currently reading about machine learning,neutral
330,My flight departs at 6am tomorrow morning,neutral
331,The conference starts next Monday in Paris,neutral
332,Feeling motivated and ready to take on the world,positive
333,Currently reading about machine learning,neutral
334,"Worst flight I have ever taken, never again",negative
335,The meeting is scheduled for 3pm,neutral
336,This is the worst decision I have ever made,negative
337,"Just had the most wonderful meal, highly recommend",positive
338,So grateful for all the support from my friends,positive
339,"Horrible quality, broke after just two days",negative
340,Just checked the weather forecast for tomorrow,neutral
341,This is the worst decision I have ever made,negative
342,"Extremely disappointed, not what was advertised at all",negative
343,Outstanding performance today by the whole team,positive
344,"Never buying from this brand again, awful experience",negative
345,"Horrible quality, broke after just two days",negative
346,"This is the best day ever, feeling fantastic!",positive
347,"Excellent customer support, resolved my issue immediately",positive
348,"This update ruined everything, reverting immediately",negative
349,The restaurant opens at noon on weekdays,neutral
350,So grateful for all the support from my friends,positive
351,"Just finished an incredible book, highly recommend",positive
352,The conference starts next Monday in Paris,neutral
353,Currently reading about machine learning,neutral
354,The team is working on the new feature,neutral
355,Updated my profile information on the platform,neutral
356,"Just had the most wonderful meal, highly recommend",positive
357,The team is working on the new feature,neutral
358,Loving the new features in this app,positive
359,"The new update is fantastic, so much better now",positive
360,This is the worst decision I have ever made,negative
361,Currently reading about machine learning,neutral
362,"The app crashes constantly, completely unusable",negative
363,"Beautiful weather today, perfect for a walk",positive
364,"Just finished an incredible book, highly recommend",positive
365,"Extremely disappointed, not what was advertised at all",negative
366,The conference starts next Monday in Paris,neutral
367,Very frustrated with the constant delays,negative
368,This product is a complete waste of money,negative
369,"Horrible quality, broke after just two days",negative
370,"Never buying from this brand again, awful experience",negative
371,"Waited two hours and still no help, unacceptable",negative
372,"Never buying from this brand again, awful experience",negative
373,I am going to the store later today,neutral
374,"Terrible experience with customer service, very disappointed",negative
375,Currently reading about machine learning,neutral
376,This is the worst decision I have ever made,negative
377,"Great service today, very happy with the results",positive
378,Feeling motivated and ready to take on the world,positive
379,This product is a complete waste of money,negative
380,Cannot believe how bad this service has gotten,negative
381,So grateful for all the support from my friends,positive
382,Very frustrated with the constant delays,negative
383,Feeling motivated and ready to take on the world,positive
384,The event was attended by over 500 people,neutral
385,"This is the best day ever, feeling fantastic!",positive
386,Currently reading about machine learning,neutral
387,Downloaded the latest version of the software,neutral
388,Outstanding performance today by the whole team,positive
389,Best coffee I have ever had this morning,positive
390,Best coffee I have ever had this morning,positive
391,The event was attended by over 500 people,neutral
392,"Great service today, very happy with the results",positive
393,Feeling motivated and ready to take on the world,positive
394,The conference starts next Monday in Paris,neutral
395,The package arrived this afternoon,neutral
396,So grateful for all the support from my friends,positive
397,The report will be ready by end of day,neutral
398,"Just had the most wonderful meal, highly recommend",positive
399,"Excellent customer support, resolved my issue immediately",positive
400,"Just had the most wonderful meal, highly recommend",positive
401,Currently reading about machine learning,neutral
402,Cannot believe how bad this service has gotten,negative
403,Outstanding performance today by the whole team,positive
404,"Worst flight I have ever taken, never again",negative
405,The team is working on the new feature,neutral
406,This product is a complete waste of money,negative
407,Outstanding performance today by the whole team,positive
408,"Never buying from this brand again, awful experience",negative
409,"So angry about the hidden fees, total scam",negative
410,Disgusted by the lack of response from support,negative
411,"Thrilled with my new purchase, exceeded expectations",positive
412,"Waited two hours and still no help, unacceptable",negative
413,"So angry about the hidden fees, total scam",negative
414,"The app crashes constantly, completely unusable",negative
415,The meeting is scheduled for 3pm,neutral
416,Outstanding performance today by the whole team,positive
417,This product is a complete waste of money,negative
418,The new model was released yesterday,neutral
419,Loving the new features in this app,positive
420,The meeting is scheduled for 3pm,neutral
421,Feeling motivated and ready to take on the world,positive
422,"Just finished an incredible book, highly recommend",positive
423,The conference starts next Monday in Paris,neutral
424,"Excellent customer support, resolved my issue immediately",positive
425,Updated my profile information on the platform,neutral
426,Best coffee I have ever had this morning,positive
427,This product is a complete waste of money,negative
428,"So angry about the hidden fees, total scam",negative
429,"So angry about the hidden fees, total scam",negative
430,"Waited two hours and still no help, unacceptable",negative
431,"Excellent customer support, resolved my issue immediately",positive
432,Disgusted by the lack of response from support,negative
433,"Thrilled with my new purchase, exceeded expectations",positive
434,"Thrilled with my new purchase, exceeded expectations",positive
435,Disgusted by the lack of response from support,negative
436,"I love this product, absolutely amazing experience!",positive
437,Downloaded the latest version of the software,neutral
438,Feeling motivated and ready to take on the world,positive
439,"Excellent customer support, resolved my issue immediately",positive
440,The report will be ready by end of day,neutral
441,"This is the best day ever, feeling fantastic!",positive
442,"I love this product, absolutely amazing experience!",positive
443,The report will be ready by end of day,neutral
444,Feeling motivated and ready to take on the world,positive
445,I am going to the store later today,neutral
446,The meeting is scheduled for 3pm,neutral
447,Just checked the weather forecast for tomorrow,neutral
448,"Such a letdown, expected so much more",negative
449,Very frustrated with the constant delays,negative
450,So grateful for all the support from my friends,positive
451,Downloaded the latest version of the software,neutral
452,"Just had the most wonderful meal, highly recommend",positive
453,The restaurant opens at noon on weekdays,neutral
454,Very frustrated with the constant delays,negative
455,Feeling motivated and ready to take on the world,positive
456,Downloaded the latest version of the software,neutral
457,"Never buying from this brand again, awful experience",negative
458,"This is the best day ever, feeling fantastic!",positive
459,The conference starts next Monday in Paris,neutral
460,"The new update is fantastic, so much better now",positive
461,"Excellent customer support, resolved my issue immediately",positive
462,The conference starts next Monday in Paris,neutral
463,"I love this product, absolutely amazing experience!",positive
464,This is the worst decision I have ever made,negative
465,Feeling motivated and ready to take on the world,positive
466,"Terrible experience with customer service, very disappointed",negative
467,"Great service today, very happy with the results",positive
468,Best coffee I have ever had this morning,positive
469,Downloaded the latest version of the software,neutral
470,"This is the best day ever, feeling fantastic!",positive
471,Updated my profile information on the platform,neutral
472,"Excellent customer support, resolved my issue immediately",positive
473,"Great service today, very happy with the results",positive
474,Disgusted by the lack of response from support,negative
475,Very frustrated with the constant delays,negative
476,"Just had the most wonderful meal, highly recommend",positive
477,The conference starts next Monday in Paris,neutral
478,I am going to the store later today,neutral
479,This product is a complete waste of money,negative
480,"Beautiful weather today, perfect for a walk",positive
481,"This update ruined everything, reverting immediately",negative
482,"I love this product, absolutely amazing experience!",positive
483,Updated my profile information on the platform,neutral
484,Outstanding performance today by the whole team,positive
485,The restaurant opens at noon on weekdays,neutral
486,My flight departs at 6am tomorrow morning,neutral
487,Currently reading about machine learning,neutral
488,"This is the best day ever, feeling fantastic!",positive
489,Disgusted by the lack of response from support,negative
490,"Beautiful weather today, perfect for a walk",positive
491,Currently reading about machine learning,neutral
492,Disgusted by the lack of response from support,negative
493,Updated my profile information on the platform,neutral
494,The restaurant opens at noon on weekdays,neutral
495,"So angry about the hidden fees, total scam",negative
496,The package arrived this afternoon,neutral
497,The event was attended by over 500 people,neutral
498,"Waited two hours and still no help, unacceptable",negative
499,Downloaded the latest version of the software,neutral
500,Updated my profile information on the platform,neutral
501,This product is a complete waste of money,negative
502,"This update ruined everything, reverting immediately",negative
503,"Excellent customer support, resolved my issue immediately",positive
504,"Never buying from this brand again, awful experience",negative
505,The restaurant opens at noon on weekdays,neutral
506,The meeting is scheduled for 3pm,neutral
507,I am going to the store later today,neutral
508,"Such a letdown, expected so much more",negative
509,Watched a documentary about space last night,neutral
510,"This update ruined everything, reverting immediately",negative
511,Currently reading about machine learning,neutral
512,I am going to the store later today,neutral
513,Currently reading about machine learning,neutral
514,"Never buying from this brand again, awful experience",negative
515,Feeling motivated and ready to take on the world,positive
516,"Horrible quality, broke after just two days",negative
517,"So angry about the hidden fees, total scam",negative
518,"Worst flight I have ever taken, never again",negative
519,The conference starts next Monday in Paris,neutral
520,"I love this product, absolutely amazing experience!",positive
521,"Thrilled with my new purchase, exceeded expectations",positive
522,I am going to the store later today,neutral
523,"Such a letdown, expected so much more",negative
524,The event was attended by over 500 people,neutral
525,The event was attended by over 500 people,neutral
526,This is the worst decision I have ever made,negative
527,Happy to announce I got the job! Super excited,positive
528,Just checked the weather forecast for tomorrow,neutral
529,"So angry about the hidden fees, total scam",negative
530,Disgusted by the lack of response from support,negative
531,The package arrived this afternoon,neutral
532,This is the worst decision I have ever made,negative
533,The package arrived this afternoon,neutral
534,"Never buying from this brand again, awful experience",negative
535,The meeting is scheduled for 3pm,neutral
536,Watched a documentary about space last night,neutral
537,"This is the best day ever, feeling fantastic!",positive
538,"Extremely disappointed, not what was advertised at all",negative
539,"So angry about the hidden fees, total scam",negative
540,The new model was released yesterday,neutral
541,"Just finished an incredible book, highly recommend",positive
542,This is the worst decision I have ever made,negative
543,Outstanding performance today by the whole team,positive
544,"This update ruined everything, reverting immediately",negative
545,"Beautiful weather today, perfect for a walk",positive
546,The event was attended by over 500 people,neutral
547,The package arrived this afternoon,neutral
548,"Excellent customer support, resolved my issue immediately",positive
549,"Terrible experience with customer service, very disappointed",negative
550,Happy to announce I got the job! Super excited,positive
551,Happy to announce I got the job! Super excited,positive
552,Best coffee I have ever had this morning,positive
553,The new model was released yesterday,neutral
554,Watched a documentary about space last night,neutral
555,Very frustrated with the constant delays,negative
556,"Terrible experience with customer service, very disappointed",negative
557,Loving the new features in this app,positive
558,"This is the best day ever, feeling fantastic!",positive
559,Cannot believe how bad this service has gotten,negative
560,Loving the new features in this app,positive
561,The report will be ready by end of day,neutral
562,"Horrible quality, broke after just two days",negative
563,This is the worst decision I have ever made,negative
564,The report will be ready by end of day,neutral
565,The conference starts next Monday in Paris,neutral
566,Happy to announce I got the job! Super excited,positive
567,Very frustrated with the constant delays,negative
568,Feeling motivated and ready to take on the world,positive
569,"Horrible quality, broke after just two days",negative
570,Disgusted by the lack of response from support,negative
571,The restaurant opens at noon on weekdays,neutral
572,"Extremely disappointed, not what was advertised at all",negative
573,"This is the best day ever, feeling fantastic!",positive
574,Best coffee I have ever had this morning,positive
575,I am going to the store later today,neutral
576,"This update ruined everything, reverting immediately",negative
577,Loving the new features in this app,positive
578,"Extremely disappointed, not what was advertised at all",negative
579,Outstanding performance today by the whole team,positive
580,"Beautiful weather today, perfect for a walk",positive
581,This product is a complete waste of money,negative
582,"Great service today, very happy with the results",positive
583,Currently reading about machine learning,neutral
584,Cannot believe how bad this service has gotten,negative
585,"The app crashes constantly, completely unusable",negative
586,Just checked the weather forecast for tomorrow,neutral
587,"Beautiful weather today, perfect for a walk",positive
588,"This update ruined everything, reverting immediately",negative
589,Downloaded the latest version of the software,neutral
590,Happy to announce I got the job! Super excited,positive
591,"This is the best day ever, feeling fantastic!",positive
592,The team is working on the new feature,neutral
593,"Great service today, very happy with the results",positive
594,The meeting is scheduled for 3pm,neutral
595,Feeling motivated and ready to take on the world,positive
596,The report will be ready by end of day,neutral
597,I am going to the store later today,neutral
598,The restaurant opens at noon on weekdays,neutral
599,Watched a documentary about space last night,neutral
600,"Terrible experience with customer service, very disappointed",negative
601,Watched a documentary about space last night,neutral
602,"This is the best day ever, feeling fantastic!",positive
603,"Worst flight I have ever taken, never again",negative
604,Updated my profile information on the platform,neutral
605,I am going to the store later today,neutral
606,"Such a letdown, expected so much more",negative
607,"Just had the most wonderful meal, highly recommend",positive
608,"Excellent customer support, resolved my issue immediately",positive
609,Disgusted by the lack of response from support,negative
610,"This is the best day ever, feeling fantastic!",positive
611,The conference starts next Monday in Paris,neutral
612,Happy to announce I got the job! Super excited,positive
613,Happy to announce I got the job! Super excited,positive
614,Currently reading about machine learning,neutral
615,"Waited two hours and still no help, unacceptable",negative
616,Currently reading about machine learning,neutral
617,"Such a letdown, expected so much more",negative
618,"Extremely disappointed, not what was advertised at all",negative
619,"Just finished an incredible book, highly recommend",positive
620,"Just finished an incredible book, highly recommend",positive
621,"Never buying from this brand again, awful experience",negative
622,Just checked the weather forecast for tomorrow,neutral
623,"Great service today, very happy with the results",positive
624,"Horrible quality, broke after just two days",negative
625,This product is a complete waste of money,negative
626,Feeling motivated and ready to take on the world,positive
627,Downloaded the latest version of the software,neutral
628,Downloaded the latest version of the software,neutral
629,"Beautiful weather today, perfect for a walk",positive
630,The report will be ready by end of day,neutral
631,This is the worst decision I have ever made,negative
632,This is the worst decision I have ever made,negative
633,The conference starts next Monday in Paris,neutral
634,"I love this product, absolutely amazing experience!",positive
635,"I love this product, absolutely amazing experience!",positive
636,"Excellent customer support, resolved my issue immediately",positive
637,"Great service today, very happy with the results",positive
638,"The new update is fantastic, so much better now",positive
639,Best coffee I have ever had this morning,positive
640,"The new update is fantastic, so much better now",positive
641,Best coffee I have ever had this morning,positive
642,"Never buying from this brand again, awful experience",negative
643,"Waited two hours and still no help, unacceptable",negative
644,Loving the new features in this app,positive
645,Disgusted by the lack of response from support,negative
646,Just checked the weather forecast for tomorrow,neutral
647,"Great service today, very happy with the results",positive
648,Watched a documentary about space last night,neutral
649,The package arrived this afternoon,neutral
650,"This is the best day ever, feeling fantastic!",positive
651,I am going to the store later today,neutral
652,Outstanding performance today by the whole team,positive
653,"Waited two hours and still no help, unacceptable",negative
654,"Terrible experience with customer service, very disappointed",negative
655,"Terrible experience with customer service, very disappointed",negative
656,The restaurant opens at noon on weekdays,neutral
657,Happy to announce I got the job! Super excited,positive
658,"The app crashes constantly, completely unusable",negative
659,"Terrible experience with customer service, very disappointed",negative
660,Outstanding performance today by the whole team,positive
661,The report will be ready by end of day,neutral
662,The meeting is scheduled for 3pm,neutral
663,"Great service today, very happy with the results",positive
664,Watched a documentary about space last night,neutral
665,The report will be ready by end of day,neutral
666,"Never buying from this brand again, awful experience",negative
667,Feeling motivated and ready to take on the world,positive
668,"The app crashes constantly, completely unusable",negative
669,The package arrived this afternoon,neutral
670,The event was attended by over 500 people,neutral
671,Best coffee I have ever had this morning,positive
672,Very frustrated with the constant delays,negative
673,Feeling motivated and ready to take on the world,positive
674,"Never buying from this brand again, awful experience",negative
675,Watched a documentary about space last night,neutral
676,The event was attended by over 500 people,neutral
677,The meeting is scheduled for 3pm,neutral
678,The new model was released yesterday,neutral
679,The new model was released yesterday,neutral
680,"Worst flight I have ever taken, never again",negative
681,"The app crashes constantly, completely unusable",negative
682,"Such a letdown, expected so much more",negative
683,"I love this product, absolutely amazing experience!",positive
684,"Beautiful weather today, perfect for a walk",positive
685,"Worst flight I have ever taken, never again",negative
686,Outstanding performance today by the whole team,positive
687,The package arrived this afternoon,neutral
688,The conference starts next Monday in Paris,neutral
689,"Such a letdown, expected so much more",negative
690,"Beautiful weather today, perfect for a walk",positive
691,Watched a documentary about space last night,neutral
692,The team is working on the new feature,neutral
693,"I love this product, absolutely amazing experience!",positive
694,The restaurant opens at noon on weekdays,neutral
695,"This update ruined everything, reverting immediately",negative
696,Disgusted by the lack of response from support,negative
697,"Excellent customer support, resolved my issue immediately",positive
698,Watched a documentary about space last night,neutral
699,The meeting is scheduled for 3pm,neutral
700,Best coffee I have ever had this morning,positive
701,The team is working on the new feature,neutral
